,alpha,spectral_norm,D,longname,eigs,norm,alphahat
0,1.2987017631530762,934.1167602539062,0.1370527744293213,model.layers.0.self_attn.q_proj,"[2.0304852e-14 1.0001347e-12 1.8117512e-12 ... 1.3724084e+02 2.6885889e+02
 9.3411676e+02]",5287.84765625,3.8576652294976963
1,1.3893959522247314,334.79705810546875,0.1277921199798584,model.layers.0.self_attn.k_proj,"[4.6353312e-06 6.0287816e-06 1.0003500e-05 ... 7.5609619e+01 1.1960348e+02
 3.3479706e+02]",2788.0947265625,3.507921381349752
2,2.5520718097686768,2.2950282096862793,0.12694811820983887,model.layers.0.self_attn.v_proj,[0.00403156 0.00982461 0.01250364 ... 1.3348713  1.7200706  2.2950282 ],177.837890625,0.9207569558221222
3,1.698075532913208,20.294876098632812,0.15670645236968994,model.layers.0.self_attn.o_proj,"[1.33798475e-08 2.51860452e-08 4.02997742e-08 ... 7.93670940e+00
 8.62557602e+00 2.02948761e+01]",926.5025024414062,2.220040865152576
4,2.615433692932129,80.65013885498047,0.08376967906951904,model.layers.0.mlp.gate_proj,"[1.5386324e-02 2.7331499e-02 3.1444196e-02 ... 4.5711956e+01 5.3848293e+01
 8.0650139e+01]",7873.43505859375,4.986599268522429
5,3.048842191696167,26.385913848876953,0.10912203788757324,model.layers.0.mlp.up_proj,"[1.7645873e-02 3.1907696e-02 3.4043591e-02 ... 1.4387596e+01 1.8019562e+01
 2.6385914e+01]",6478.6103515625,4.333539350882552
6,3.164480447769165,37.83287048339844,0.11277586221694946,model.layers.0.mlp.down_proj,"[ 0.12122649  0.15130721  0.16929527 ... 16.125853   17.691338
 37.83287   ]",6447.78564453125,4.993136528901755
7,1.4853886365890503,155.0237274169922,0.14147180318832397,model.layers.1.self_attn.q_proj,"[6.0560931e-13 7.8513281e-12 1.8470170e-11 ... 4.5038345e+01 5.0503212e+01
 1.5502373e+02]",5681.068359375,3.253592558645209
8,1.694692611694336,80.29344177246094,0.14138829708099365,model.layers.1.self_attn.k_proj,"[3.8671010e-06 4.1196622e-06 4.2053366e-06 ... 3.5240837e+01 3.8208576e+01
 8.0293442e+01]",2900.94384765625,3.2278472495838386
9,2.7809300422668457,1.566918969154358,0.14121192693710327,model.layers.1.self_attn.v_proj,[0.01180414 0.02126643 0.02442903 ... 0.81078005 0.9234246  1.566919  ],252.5277099609375,0.5424107776279586
10,1.7563822269439697,21.062088012695312,0.158422589302063,model.layers.1.self_attn.o_proj,"[3.4144840e-10 4.4977813e-09 1.2155137e-07 ... 4.7788239e+00 8.4545383e+00
 2.1062088e+01]",1196.9453125,2.324574377101835
11,2.680394172668457,45.08162307739258,0.08753097057342529,model.layers.1.mlp.gate_proj,"[2.6545435e-02 2.8675742e-02 3.0903548e-02 ... 1.9222673e+01 1.9845745e+01
 4.5081623e+01]",8065.73583984375,4.433370738249895
12,2.8785250186920166,10.117753982543945,0.11764144897460938,model.layers.1.mlp.up_proj,"[ 0.02790258  0.02890964  0.03113656 ...  7.078984    7.2729473
 10.117754  ]",6674.20751953125,2.8931597713417383
13,3.2559266090393066,21.435041427612305,0.1333727240562439,model.layers.1.mlp.down_proj,"[ 0.06124176  0.08045428  0.09241101 ... 10.144544   10.78966
 21.435041  ]",6629.4765625,4.334043116904507
14,1.658937692642212,87.83375549316406,0.15625274181365967,model.layers.2.self_attn.q_proj,"[8.7084735e-11 1.7478899e-10 1.2795369e-09 ... 2.3575804e+01 2.7823715e+01
 8.7833755e+01]",5139.4482421875,3.2244132447994014
15,2.084994316101074,47.77911376953125,0.17904603481292725,model.layers.2.self_attn.k_proj,"[7.3239653e-06 5.0053583e-05 7.7153825e-05 ... 1.6554358e+01 2.0228706e+01
 4.7779114e+01]",3026.902099609375,3.501201872991256
16,2.6454763412475586,0.8968945145606995,0.1463974118232727,model.layers.2.self_attn.v_proj,[0.00819025 0.00993349 0.01091234 ... 0.757304   0.7906166  0.8968945 ],178.3093719482422,-0.12502159324012088
17,1.7742946147918701,16.170166015625,0.15384185314178467,model.layers.2.self_attn.o_proj,"[1.3018433e-08 2.5620022e-08 6.7651030e-08 ... 4.8247757e+00 5.0795293e+00
 1.6170166e+01]",1013.5596923828125,2.144615590445003
